mes;cliente;tipo_imovel;aluguel;parcela_contrato;total_mes
1;Maria Exemplo;Apartamento;1140.00;400.00;1540.00
2;Maria Exemplo;Apartamento;1140.00;400.00;1540.00
3;Maria Exemplo;Apartamento;1140.00;400.00;1540.00
4;Maria Exemplo;Apartamento;1140.00;400.00;1540.00
5;Maria Exemplo;Apartamento;1140.00;400.00;1540.00
6;Maria Exemplo;Apartamento;1140.00;0.00;1140.00
7;Maria Exemplo;Apartamento;1140.00;0.00;1140.00
8;Maria Exemplo;Apartamento;1140.00;0.00;1140.00
9;Maria Exemplo;Apartamento;1140.00;0.00;1140.00
10;Maria Exemplo;Apartamento;1140.00;0.00;1140.00
11;Maria Exemplo;Apartamento;1140.00;0.00;1140.00
12;Maria Exemplo;Apartamento;1140.00;0.00;1140.00
